FSCSKEY,district_geoid,weight
AK0068,0200690,1.0
AK0075,0200050,1.0
AL0145,0103062,1.0
AL0147,0103062,1.0
AL0204,0103062,1.0
AL0109,0101560,1.0
AL0107,0101920,0.9999999999999551
AL0107,0100420,4.4903493792064494e-14
AL8013,0100390,1.916124030880074e-12
AL8013,0101920,0.999999999998084
AL0093,0102350,1.0570011526001307e-12
AL0093,0100390,3.4687610939179015e-13
AL0093,0101440,0.9999999999966973
AL0093,0101920,1.898813067755649e-12
AL0066,0102310,1.0
AL0037,0100060,0.999999999999174
AL0037,0100930,8.260899586015359e-13
AL0042,0100930,0.9999999168586737
AL0042,1201980,8.314132631115022e-08
AL0051,0100900,1.0
AL0055,0100900,1.0
AL0043,0101660,1.0
AL0038,0100960,1.0
AL0250,0100390,5.6146828864003456e-14
AL0250,0101920,0.9999999999999438
AL0015,0103030,1.2677425806631744e-16
AL0015,0103120,2.7866092988378402e-14
AL0015,0103180,0.999999999999972
AL0020,0103150,0.999999948154811
AL0020,0103180,5.184518899762175e-08
AL0151,0103090,1.0
AL0009,0101920,0.0466847225731136
AL0009,0103450,0.9533152774268864
AL0231,0103450,1.0
AL0007,0101890,0.9547311322380505
AL0007,0103450,0.04526886776194951
AL0130,0103030,0.9855377921326586
AL0130,0100190,4.956889170690976e-14
AL0130,0100660,0.0144622078672919
AL0140,0102730,1.0
AL0142,0102730,1.0
AL0067,0101950,1.0
AL0041,0100810,2.44488815890016e-07
AL0041,0101080,8.885437493861157e-14
AL0041,0101320,0.9999997555110952
AL0069,0101950,1.0
AL0071,0101950,1.0
AL0072,0101950,1.0
AL0173,0101830,1.0
AL0053,0102580,0.9995149487426747
AL0053,0100210,2.01198767663442e-08
AL0053,0100600,1.1609361389680807e-14
AL0053,0102070,0.0004850311374370001
AL8009,0100360,0.6205143103266761
AL8009,0103390,0.3794856896733238
AL0090,0100390,5.034566874904179e-14
AL0090,0101920,0.9999999999999497
AL0094,0101920,0.9999999999999314
AL0094,0103270,6.86027628176645e-14
AL0132,0100007,0.0020202498236692
AL0132,0103030,0.8794442353075905
AL0132,0100190,7.48595562520663e-14
AL0132,0100194,1.711863325427103e-13
AL0132,0100330,1.845716368986025e-14
AL0132,0101920,0.1185355148684757
AL0101,0103030,1.6493406130249562e-13
AL0101,0103062,4.2610806611071353e-13
AL0101,0100011,0.9999999999982336
AL0101,0100013,3.27510487155859e-15
AL0101,0100390,3.222685907596054e-13
AL0101,0101920,8.497678189650816e-13
AL0092,0100390,5.594271394602175e-13
AL0092,0101920,9.280705484196442e-13
AL0092,0101760,1.0611532779569507e-13
AL0092,0102490,0.9982235283287594
AL0092,0103430,0.0017764716696470003
AL0114,0101350,0.9999999999999304
AL0114,1200510,6.968992931702006e-14
AL0218,0101140,1.0
AL8014,0101140,1.0
AL0112,0101140,1.0
AL0081,0100270,1.0
AL0088,0100202,0.9969522456937114
AL0088,0103581,4.448248880456105e-13
AL0088,0100270,0.0030477543058437
AL0222,0100202,8.373143926814568e-09
AL0222,0103581,0.999999968598481
AL0222,0100270,2.3028358506627185e-08
AL0222,1200510,1.6533587102188336e-14
AL8011,0100270,1.0
AL0039,0101260,1.0
AL0122,0102130,1.0
AL0211,0100001,2.2417672034376018e-13
AL0211,0101080,0.9667011785555139
AL0211,0101050,0.03329882144426201
AL0129,0103030,0.0002343994626591
AL0129,0100190,0.9997656005372452
AL0129,0100194,9.565187499019535e-14
AL0134,0103030,1.0
AL0049,0100030,0.983563270660834
AL0049,0103210,0.016436729339166
AL0033,0100300,1.0
AL0029,0100300,1.0
AL0227,0101830,0.9999999999998302
AL0227,4703540,1.698151241935108e-13
AL0241,0101830,1.0
AL0179,0101710,0.7405537256742072
AL0179,0103390,0.2594462743257928
AL0056,0103240,0.9053102238786392
AL0056,0103210,0.0946897761213553
AL0056,0102190,5.4456308355675025e-15
AL0030,0100300,1.0
AL0143,0102730,1.0
AL0174,0102370,1.0
AL0170,0100185,0.0021491067231508
AL0170,0100188,0.9978508932418184
AL0170,0102370,3.5030728029589324e-11
AL0157,0101710,1.0
