GEOID,lat,lon
0632250,40.0768065,-122.709618
0632400,39.9734713,-122.1576723
0600012,39.405197,-120.7604788
0608340,39.1414342,-120.9745679
0608880,39.1200981,-121.1681268
0615780,39.2138085,-121.0531043
0626820,39.283834,-120.8887144
0630930,39.0625434,-121.1077211
0640380,39.2026371,-121.0224917
0614940,34.0587656,-118.0964295
0617040,33.8698189,-118.4052955
0633570,34.0790138,-118.0731431
0621210,33.8892514,-118.3460941
0602100,32.8259683,-116.7019634
0606810,32.7891184,-116.9026811
0606030,34.3587477,-119.1331453
0617850,34.1453194,-119.2165694
0602310,37.3638665,-121.7166666
0622650,37.3567766,-122.1291449
0610290,37.3121123,-122.0736888
0603420,37.359623,-120.6149822
0603750,37.4702877,-120.6710831
0612150,37.1385639,-120.5056412
0621240,37.2159621,-120.2016251
0622170,37.3567968,-120.7465373
0624360,37.2510903,-120.6306363
0624600,37.3680136,-120.4421855
0624630,37.4647594,-120.5182474
0630810,37.1853511,-120.3406962
0630840,37.3180728,-120.2716283
0636960,37.5110854,-120.4167076
0641880,37.265849,-120.4185675
0642960,37.4040055,-120.6173771
0605790,32.9933547,-115.5658032
0612030,32.7970163,-115.562543
0616830,32.7328399,-115.5115673
0623460,33.1812901,-115.3148405
0624180,32.7121921,-115.682455
0624390,32.7901309,-115.4990361
0626430,33.0553059,-115.4126297
0636210,32.7781455,-115.6668338
0642180,33.0170025,-115.8498649
0626130,37.7444188,-121.5788115
0623970,38.0000243,-120.6333696
0631920,37.1737072,-119.9030808
0611850,33.954431,-118.0091534
0623010,33.9483846,-117.9604981
0637560,33.9333182,-118.0452832
0622890,33.9625507,-118.0680113
0642450,34.0020441,-118.0458417
0621930,33.9344404,-118.0825307
0616680,33.9158857,-118.3452711
0626190,34.0567727,-118.0215082
0640650,34.0344665,-118.060117
0611910,34.7406414,-117.8995278
0627180,34.3691254,-118.5800118
0619440,34.4915115,-117.873175
0635970,34.5132818,-118.4782645
0638220,34.4217701,-118.4001351
0629580,34.5789322,-118.0831611
0642120,34.718813,-118.368366
0604500,38.0557823,-120.3057757
0609480,38.0466806,-120.4040408
0610320,37.9538832,-120.3063417
0618690,37.84753,-120.4865572
0637230,37.9552962,-120.3632823
0637320,37.9902003,-120.270335
0638250,38.0406457,-119.8372726
